"OGE_ID","Name","Beschreibung","Vorraussetzungen","Type","Prio","Duration","Stepnum","Stepbeschr","Stepresult"
"Testcase-Vorlage","Import von Netzpunktstammdaten  vom Typ ""Station-MÜT"" oder ""Zone-MÜT"" in Entrix+","","","Functional","Blocker","","1.0","",""
"","","","","","","","2.0","",""
"","","","","","","","3.0","",""
"Testcase_DEKL_1","Erstellung Deklarationsliste - ab 17.WT","Allgemein: Zugang zum MTS.cm IRM (Aufruf über Browser) 
 **intern: http://ecganwtest.hv.vng:80/mts.irm
**D-Umgebung: https://dev-obus.intranet.eon-gastransport.com/mts.irm
 (per RDP)
* Konfiguration MTS.cm IRM
**Einloggen mit MTS.cm Login
**Aufruf Funktion ""Activities""
**Aufruf Funktion ""Anzeigen"" für Punkt Deklarationsliste an EBIS
**Einstellen Parameter ""MessageStoragePath"" mit Wert ""c:\temp\deklarationen\""
**Einstellen Parameter ""DoNotSend"" mit Wert ""True""
**vollständiger monatlicher Versand am 17.WT 
**Konfiguration tägliche Prüfung 
**Zugang zum MTS.cm Server per RDP und das Verzeichnis für die Ablage
 der Deklarations-Dateien (Standard: c:\temp\deklarationen\)
*Auslöser für Versand von Deklarationslisten 
**Standard: 1x monatlich am 17.WT
**Änderung von BK-Einbringung
**DAC-Deals
**rückwirkender Fallgruppenwechsel/Punktklassifizierung
*Format: MTS-Inhouse-XML
*Dateien: pro Bilanzkreis ein XML mit aggregierten Zeitreihentypen 
(RLMmt, RLMot, RLMNEV, SLPsyn, SLPana, Entry, Exitso)
*AdminN-Zugang für MTS.cm
*Bilanzkreise in allen Marktgebieten im Status ""implementiert""
*Zeitreihentypen sind an den Netzpunkten gepflegt
*Parameter DVGW-Marktteilnehmer-Nummer an Firma E.ON GT ist
 im EPM 2011 gepflegt  
*Firma mit Rolle Bilanzkreisnetzbetreiber und gepflegtem Parameter 
DVGW-Marktteilnehmer-Nummer ist vorhanden > Termin ist der 17. WT
*Aktueller Werktag ist nach dem 17.WT","wird täglich ausgeführt ab dem 17.WT

Die Zeitsteuerungskomponente MTS.cm IRM wird so konfiguriert, dass ab dem 17.Werktag jeden Tag für den aktuellen Monat und den nächsten Monat Änderungen an der Deklarationsliste zum vorherigen Versand ermittelt werden und diese an EBIS übergeben werden wenn sich eine Änderung an der Deklarationsliste ergeben hat.

jede Änderung bei den Deklarationslisten werden täglich geprüft. Ab dem 17.Werktag werden alle Änderungen, des aktuellen und des nächsten Monats überprüft und für jede Änderung wird eine Inhouse-XML-Datei erzeugt.","Regression","Major","","1.0","Prüfen ob der tägliche Job zur Erstellung der Deklarationslisten automatisch gestartet wurde","der Job zur Erstellung der Deklarationslisten wurde fristgemäß (17.WT) ausgeführt"
"Testcase_DEKL_10","Erstellung Deklarationliste - rückwirkende Punktklassifizierung","Allgemein: Zugang zum MTS.cm IRM (Aufruf über Browser) 
 **intern: http://ecganwtest.hv.vng:80/mts.irm
**D-Umgebung: https://dev-obus.intranet.eon-gastransport.com/mts.irm
 (per RDP)
* Konfiguration MTS.cm IRM
**Einloggen mit MTS.cm Login
**Aufruf Funktion ""Activities""
**Aufruf Funktion ""Anzeigen"" für Punkt Deklarationsliste an EBIS
**Einstellen Parameter ""MessageStoragePath"" mit Wert ""c:\temp\deklarationen\""
**Einstellen Parameter ""DoNotSend"" mit Wert ""True""
**vollständiger monatlicher Versand am 17.WT 
**Konfiguration tägliche Prüfung 
**Zugang zum MTS.cm Server per RDP und das Verzeichnis für die Ablage
 der Deklarations-Dateien (Standard: c:\temp\deklarationen\)
*Auslöser für Versand von Deklarationslisten 
**Standard: 1x monatlich am 17.WT
**Änderung von BK-Einbringung
**DAC-Deals
**rückwirkender Fallgruppenwechsel/Punktklassifizierung
*Format: MTS-Inhouse-XML
*Dateien: pro Bilanzkreis ein XML mit aggregierten Zeitreihentypen 
(RLMmt, RLMot, RLMNEV, SLPsyn, SLPana, Entry, Exitso)
*AdminN-Zugang für MTS.cm
*Bilanzkreise in allen Marktgebieten im Status ""implementiert""
*Zeitreihentypen sind an den Netzpunkten gepflegt
*Parameter DVGW-Marktteilnehmer-Nummer an Firma E.ON GT ist
 im EPM 2011 gepflegt  
*Firma mit Rolle Bilanzkreisnetzbetreiber und gepflegtem Parameter 
DVGW-Marktteilnehmer-Nummer ist vorhanden > Termin ist der 17. WT

* rückwirkende Fallgruppenwechsel/Punktklassifizierung 
wurde im MTS.cm importiert. Die Punktklassifizierung ist 
deklarationsrelevant und Deklarationslisten müssen versendet werden.","Trifft eine rückwirkende Punktklassifizierung ein, prüft das MTS.cm ob diese Änderung Auswirkung auf bereits versandte Deklarationen hat und korrigiert diese entsprechend rückwirkend bis zu dem Monat in dem die Klassifizierungsänderung wirksam wurde
Die Rückwirkende Punktklassifizierungen werden an das System übermittelt und die Erstellung der Deklarationen für die zurückliegenden Monate wird angestoßen","Regression","Major","","1.0","Prüfen ob die Erstellung der Deklarationslisten automatisch gestartet wurde","Erstellung der Deklarationslisten wurde autiomatisch ausgeführt"
"Testcase_DEKL_11","Server-Ablage Deklaration - rückwirkende Punktklassifizierung","Allgemein: Zugang zum MTS.cm IRM (Aufruf über Browser) 
 **intern: http://ecganwtest.hv.vng:80/mts.irm
**D-Umgebung: https://dev-obus.intranet.eon-gastransport.com/mts.irm
 (per RDP)
* Konfiguration MTS.cm IRM
**Einloggen mit MTS.cm Login
**Aufruf Funktion ""Activities""
**Aufruf Funktion ""Anzeigen"" für Punkt Deklarationsliste an EBIS
**Einstellen Parameter ""MessageStoragePath"" mit Wert ""c:\temp\deklarationen\""
**Einstellen Parameter ""DoNotSend"" mit Wert ""True""
**vollständiger monatlicher Versand am 17.WT 
**Konfiguration tägliche Prüfung 
**Zugang zum MTS.cm Server per RDP und das Verzeichnis für die Ablage
 der Deklarations-Dateien (Standard: c:\temp\deklarationen\)
*Auslöser für Versand von Deklarationslisten 
**Standard: 1x monatlich am 17.WT
**Änderung von BK-Einbringung
**DAC-Deals
**rückwirkender Fallgruppenwechsel/Punktklassifizierung
*Format: MTS-Inhouse-XML
*Dateien: pro Bilanzkreis ein XML mit aggregierten Zeitreihentypen 
(RLMmt, RLMot, RLMNEV, SLPsyn, SLPana, Entry, Exitso)
*AdminN-Zugang für MTS.cm
*Bilanzkreise in allen Marktgebieten im Status ""implementiert""
*Zeitreihentypen sind an den Netzpunkten gepflegt
*Parameter DVGW-Marktteilnehmer-Nummer an Firma E.ON GT ist
 im EPM 2011 gepflegt  
*Firma mit Rolle Bilanzkreisnetzbetreiber und gepflegtem Parameter 
DVGW-Marktteilnehmer-Nummer ist vorhanden > Termin ist der 17. WT

 *vollständige Deklarationlisten wurden erzeugt und sind im konfigurierten 
Verzeichnis abgelegt. Der Zugang zu dem konfigurierten Verzeichnis ist möglich","Die erzeugten Deklarationslisten werden vollständig im konfigurierten Server-Verzeichnis abgelegt
Die erzeugte Deklarationen wurden vollständig im Server-verzeichnis abgelegt
","Regression","Major","","1.0","Prüfen ob Dateien im konfigurierten Verzeichnis abgelegt werden","Dateien wurden im konfigurierten Verzeichnis abgelegt"
"","","","","","","","2.0","Prüfen ob Dateien im Format MTS-Inhouse-XML erzeugt werden","Dateien wurden im Format ""MTS-Inhouse-XML"" erzeugt"
"Testcase_DEKL_12","Inhaltliche Prüfung Deklaration - rückwirkende Punktklassifizierung","Allgemein: Zugang zum MTS.cm IRM (Aufruf über Browser) 
 **intern: http://ecganwtest.hv.vng:80/mts.irm
**D-Umgebung: https://dev-obus.intranet.eon-gastransport.com/mts.irm
 (per RDP)
* Konfiguration MTS.cm IRM
**Einloggen mit MTS.cm Login
**Aufruf Funktion ""Activities""
**Aufruf Funktion ""Anzeigen"" für Punkt Deklarationsliste an EBIS
**Einstellen Parameter ""MessageStoragePath"" mit Wert ""c:\temp\deklarationen\""
**Einstellen Parameter ""DoNotSend"" mit Wert ""True""
**vollständiger monatlicher Versand am 17.WT 
**Konfiguration tägliche Prüfung 
**Zugang zum MTS.cm Server per RDP und das Verzeichnis für die Ablage
 der Deklarations-Dateien (Standard: c:\temp\deklarationen\)
*Auslöser für Versand von Deklarationslisten 
**Standard: 1x monatlich am 17.WT
**Änderung von BK-Einbringung
**DAC-Deals
**rückwirkender Fallgruppenwechsel/Punktklassifizierung
*Format: MTS-Inhouse-XML
*Dateien: pro Bilanzkreis ein XML mit aggregierten Zeitreihentypen 
(RLMmt, RLMot, RLMNEV, SLPsyn, SLPana, Entry, Exitso)
*AdminN-Zugang für MTS.cm
*Bilanzkreise in allen Marktgebieten im Status ""implementiert""
*Zeitreihentypen sind an den Netzpunkten gepflegt
*Parameter DVGW-Marktteilnehmer-Nummer an Firma E.ON GT ist
 im EPM 2011 gepflegt  
*Firma mit Rolle Bilanzkreisnetzbetreiber und gepflegtem Parameter 
DVGW-Marktteilnehmer-Nummer ist vorhanden > Termin ist der 17. WT

* vollständige Deklarationlisten wurden erzeugt und sind im 
konfigurierten Verzeichnis abgelegt. Der Zugang zu dem konfigurierten 
Verzeichnis ist möglich","Es werden für die Netze E.ON GT L-Gas, E.ON GT H-Gas und EGG separate Dateien erstellt. Die erzeugten Deklarationslisten sind inhaltlich korrekt. Deklarationszeitraum ist vom zurückliegenden Monat der Klassifizierungsänderung bis zum aktuellen/nächsten Kalendermonat (abhängig vom aktuellen Werktag)
Die Deklarationslisten werden separiert nach Marktgebiet und BK-Vertrag. Die Zeitreihentypen in den Deklarationslisten sind vollständig angegeben und der Deklarationszeitraum ist vom zurückliegenden Monat der Klassifizierungsänderung bis zum aktuellen/nächsten Kalendermonat
> bis 17.WT aktueller Monat
> ab 17.WT aktueller und nächster Monat","Regression","Major","","1.0","Prüfen ob die Deklarationslisten pro Marktgebiet separiert werden","Deklarationslisten sind separiert nach Marktgebiet"
"","","","","","","","2.0","Prüfen ob für jeden BK-Vertrag eine separate Nachricht erzeugt wird","Deklarationslisten sind separiert nach BK-Vertrag"
"","","","","","","","3.0","Prüfen ob der Deklarationszeitraum 
korrekt ist","Deklarationszeitraum ist ist vom Monat der Klassifizierungsänderung bis zum aktuellen/nächsten Kalendermonat
bis 17.WT aktueller Monat
ab 17.WT aktueller und nächster Monat"
